,OLS,Ridge,Kernel Ridge,RF,SVR
Altitudinal Limit,"[-0.36032259 -0.2680177  -0.25547272 -0.16409834 -0.46721273 -0.15713176
 -0.32620645 -0.30712657 -0.48308735 -0.72094963]","[-0.22109847 -0.18741478 -0.16145776 -0.16844166 -0.29697575 -0.22974161
 -0.22518014 -0.23769839 -0.25745591 -0.24653553]","[ 0.25048642  0.10643145 -0.09644026 -0.01825591  0.30714922 -0.09940345
 -0.09968795  0.00842995 -0.10896812 -0.11971219]","[ 0.40249803  0.21890739  0.21740466  0.21544318  0.4052504   0.37205565
  0.14141414  0.28535401  0.22961413  0.33921521]","[ 0.11762308  0.02805233 -0.05333497 -0.01253806  0.50954652 -0.042022
 -0.05789065 -0.02450236 -0.05264253 -0.03964075]"
Litter Size (individuals),"[-0.17874827  0.12688321  0.14276925 -0.48224355 -0.15299523  0.43670426
  0.08828625 -0.05563755 -0.16718792 -0.29423031]","[-0.01685638  0.03518178  0.06342125  0.01635836  0.03164606  0.09310761
  0.02648002  0.02625803  0.04638766  0.04550642]","[ 0.00648902  0.         -0.00552756 -0.04596341  0.01833137  0.04014215
  0.01175114  0.00373999  0.02226027 -0.01006989]","[ 0.00083816  0.01015285  0.01398584  0.00094305  0.04311656  0.00137911
  0.0080472   0.0081932   0.00025279  0.00052938]","[ 0.00894818 -0.01198051  0.00257931  0.00718166  0.06421869  0.03539223
 -0.12005838  0.02253409 -0.01153152  0.00147496]"
Litters / year,"[-1.18583855 -0.99256349 -0.75775095 -1.97145045 -0.96738317 -0.0858239
 -0.86836229 -0.84687198 -1.19462031 -1.90330074]","[ 0.05463983  0.0007778   0.04738896  0.0572473   0.05030916  0.03993148
  0.06616589  0.04649854  0.03791772  0.07753036]","[ 0.         -0.00912825  0.00304433 -0.01260577  0.01540441 -0.00545671
 -0.03483801 -0.02109379 -0.007187   -0.03387817]","[ 0.01415234  0.00016652  0.04548307  0.03301958  0.02553061  0.06537202
  0.05868763  0.04171543  0.03448603  0.00506157]","[-0.00465337 -0.01158805  0.0016258  -0.01536103 -0.01819157 -0.00038224
 -0.02943131 -0.02015846 -0.02030403 -0.00503689]"
Young / year,"[ 1.12748624 -0.00915771  0.50055054  1.53960399  0.5551664  -0.39365134
  0.42633518  0.48262595  0.78498187  1.48682591]","[ 0.06562899 -0.03861165  0.05454324  0.03219223  0.00699096  0.01618114
  0.02769068  0.02944506  0.02653681  0.04320413]","[-0.02222221 -0.06343762 -0.00270749 -0.01548149  0.00997188  0.00653871
 -0.01989296 -0.01152925 -0.0116082  -0.02275078]","[  1.44347017e-03   3.18081042e-02   2.44757119e-04   8.27018303e-02
   5.09640483e-05   3.09291728e-04   1.98967374e-02   6.11695753e-02
   4.21491944e-02   5.89050881e-03]","[-0.02181001 -0.02296908 -0.00116332 -0.01204304 -0.02581682  0.00751202
 -0.0078259  -0.013977   -0.01690583 -0.01260039]"
Mass (g),"[-2.6039721   0.44559271  0.42862152  0.46085926  0.47156972  0.47315533
  0.40619024  0.41801606  0.43765643  0.51167376]","[-0.12732962  0.09078506  0.0862966   0.0665128   0.10099027  0.08020611
  0.12885828  0.08900729  0.09483678  0.09765151]","[ 0.00506336  0.         -0.00914555 -0.00046632  0.01092328  0.
 -0.02213331 -0.00126788 -0.01426    -0.0062075 ]","[ 0.45871221  0.2588623   0.1897379   0.28014026  0.21727687  0.23101932
  0.21453378  0.21224294  0.20960082  0.35306512]","[ 0.00235032  0.         -0.0033523   0.00348942  0.03321045 -0.01205613
 -0.01073488  0.00494114  0.00198709 -0.00297109]"
Longevity (years),"[-0.55448144 -1.47754825 -1.25874734 -1.98302954 -1.63401452 -1.40843507
 -1.57899487 -1.48316271 -1.69064068 -1.71654058]","[-0.22361271 -0.33903713 -0.22241147 -0.27776132 -0.37226801 -0.3471031
 -0.33857572 -0.35241194 -0.35147649 -0.34300238]","[ 0.06390186  0.11240174 -0.13387098  0.12687797  0.25475077  0.1257307
 -0.13208252 -0.03099122 -0.27239587 -0.04626026]","[ 0.          0.00032223  0.03090131  0.00492067  0.09946822  0.01422086
  0.09627261  0.078171    0.07523788  0.00893386]","[ 0.01860779  0.0289754  -0.06199489  0.02098864  0.38484357  0.11027778
 -0.0351028  -0.01499956 -0.07002072 -0.009266  ]"
BioClim: Bio 1 (std dev),"[ 0.09477778  0.07186111  0.15043895 -0.01563891 -0.12519371 -0.09796395
 -0.00537167 -0.06946432  0.15458986  0.25930307]","[-0.02927082 -0.06927012 -0.04548722 -0.15378025 -0.10984263 -0.11927413
 -0.12937588 -0.10348244 -0.06404517 -0.08977689]","[ 0.06019442  0.04481739 -0.04514359 -0.01673662  0.15245043  0.10764234
 -0.06468806 -0.03021962  0.07274032 -0.07413249]","[ 0.02963376  0.25778912  0.33305134  0.1878888   0.09264675  0.16057081
  0.26210881  0.08851019  0.23390933  0.10446159]","[ 0.03971843  0.01129886 -0.00723376 -0.00649852  0.18822529  0.10258824
 -0.00039815 -0.02299452  0.00447996 -0.01577684]"
Range Size (km2),"[-0.14027416 -0.03100746 -0.21732065 -0.11792208 -0.06348828 -0.4307173
 -0.12150096 -0.10797182 -0.09227926  0.09103004]","[-0.09849413 -0.0968124  -0.12093106 -0.1440081  -0.10697536 -0.13795273
 -0.10648327 -0.11117995 -0.11486653 -0.1066078 ]","[ 0.04016669  0.0255662  -0.01287166 -0.02969854 -0.09475462 -0.09325315
  0.01809686  0.03785283  0.02915314  0.03803488]","[ 0.02427412  0.13030356  0.12303928  0.05711839  0.03522803  0.05192419
  0.05600907  0.05601777  0.11653096  0.11218721]","[ 0.01463854  0.00460966 -0.00588104 -0.00336697 -0.08356225 -0.05689549
 -0.00318326  0.0024889   0.01063719  0.00520742]"
Food_code,"[-0.1663114  -0.04900653  0.00956913 -0.13108941  0.07119341  0.15390717
 -0.02868412  0.03595193 -0.04506983 -0.10025501]","[ 0.12044586  0.07244484  0.07307893  0.00971295  0.09249864  0.12929031
  0.09678145  0.08709457  0.1048358   0.07225194]","[-0.04779687  0.01586217  0.02585504  0.01724883  0.05312593 -0.05018589
 -0.00310719 -0.00796997 -0.01208308  0.01104199]","[ 0.00134568  0.00350888  0.00637032  0.00090866  0.00508441  0.00081458
  0.0051465   0.05996435  0.02146011  0.00318062]","[-0.03460978  0.00531413  0.01461088  0.00683635  0.29819045 -0.0600878
 -0.02602281  0.00453015  0.0284234   0.01555091]"
Rhythm: Diurnal + Nocturnal (binary),"[-0.3452336  -0.35573599 -0.32004775 -0.46521382 -0.43327849 -0.28445288
 -0.44080162 -0.35186619 -0.41060489 -0.6247395 ]","[-0.01081143 -0.07664447 -0.10978579 -0.01741229 -0.06235898 -0.07430112
 -0.05230916 -0.07270323 -0.04791288 -0.09569028]","[-0.00082096 -0.03790333  0.03500139 -0.00936511  0.02231217 -0.01672827
 -0.01320245  0.01088896 -0.00565072  0.00107011]","[ 0.000466    0.00066189  0.          0.00929474  0.00444792  0.00071191
  0.          0.00051686  0.          0.00060648]","[ 0.00098612 -0.01041407  0.02455214 -0.00259093  0.02525297 -0.07078074
 -0.00542787  0.00136037 -0.00347746 -0.02996357]"
