index,Kernel Ridge,OLS,RF,Ridge,SVR
Altitudinal Limit,0.013002915993951794,-0.35096258385565104,0.2827156790872174,-0.22319999836818177,0.037265061071302716
Longevity (years),0.00680621988752996,-1.4785595000014113,0.04084486460488793,-0.3167660264158778,0.03723091973157237
BioClim: Bio 1 (std dev),0.020692452435223847,0.04173382139456996,0.17505704900524963,-0.09136055514682082,0.029340899352771087
Litters / year,-0.010573894873897888,-1.077396582347372,0.032367479954128316,0.04784070366254005,-0.012348116680909973
Young / year,-0.015311942428397568,0.6500767027185402,0.02456644334211623,0.026380157748327904,-0.01275993812491252
Range Size (km2),-0.004170737968694792,-0.12314519404506763,0.07626325829200975,-0.11443113239070864,-0.01153073032407535
Facultative Hibernation (binary) ,0.006928086341415607,-0.701063619061618,0.008790470664345849,-0.041539630455180866,-0.009979168298508655
Mass (g),-0.0037493922131930204,0.14493629299142957,0.26251914984259767,0.07078150876750497,0.0016864020371016128
Rhythm: Nocturnal (binary),0.003772178336402583,-0.25301728506273424,0.027950572423353692,-0.023588419433010512,0.01296258465155307
Rhythm: Diurnal + Nocturnal (binary),-0.0014398210158542365,-0.4031974724667765,0.0016705802159051922,-0.06199296416279467,-0.007050303325592294
Rhythm: Diurnal (binary),-0.0012028303844988267,0.6395990287668838,0.00790499280599385,0.08341441456525203,-0.00980141657950569
No Hibernation (binary),0.005089044087903405,0.48430655919799753,0.007688707429365342,0.03424243754017009,4.062837763867816e-05
Granivore (binary) ??,0.0037313374508500642,0.599048713793785,0.003733601360146012,0.05804969564475563,-0.0001572038316892868
Omnivore (binary),-0.0012762394588119782,-0.25718341669659905,0.00888523683453378,0.02946728642564601,0.008134626874565148
Insectivore (binary),0.0010113204350840944,-1.2039333365980345,0.004538658673380455,-0.05721296988697774,-0.0005101673959085996
Herivore (binary),0.001828122408661688,0.07376103463539604,0.009401291103427172,-0.03030401218342389,0.0024126399298530707
Food_code,0.00019909493060961438,-0.024979467025222683,0.010778410398939006,0.08584353055484582,0.025273590596343397
Litter Size (individuals),0.004115308817547919,-0.05363998560049924,0.008743814431338214,0.0367490813331076,-0.00012413069963934236
Obligate Hibernation (binary),-0.00034464550836234357,0.04996943839210434,0.005579739531064525,-0.0038022305009908753,-0.0007011612649856676
