,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
Altitudinal Limit,9,1,2,2,1,0,2.5
Longevity (years),0,0,5,5,7,1,3.0
BioClim: Bio 1 (std dev),17,3,0,0,3,2,4.166666666666667
Litters / year,2,10,3,3,9,6,5.5
Young / year,4,16,1,1,8,5,5.833333333333333
Range Size (km2),13,2,7,7,2,7,6.333333333333333
Facultative Hibernation (binary) ,3,11,4,4,10,8,6.666666666666667
Mass (g),12,6,10,10,0,13,8.5
Rhythm: Nocturnal (binary),11,17,9,9,4,4,9.0
Rhythm: Diurnal (binary),5,5,15,15,16,9,10.833333333333334
Rhythm: Diurnal + Nocturnal (binary),8,7,13,13,13,11,10.833333333333334
No Hibernation (binary),7,13,6,6,17,18,11.166666666666666
Granivore (binary) ??,6,8,11,11,15,16,11.166666666666666
Omnivore (binary),10,15,14,14,5,10,11.333333333333334
Insectivore (binary),1,9,16,16,12,15,11.5
Herivore (binary),14,14,12,12,6,12,11.666666666666666
Food_code,18,4,18,18,11,3,12.0
Litter Size (individuals),15,12,8,8,14,17,12.333333333333334
Obligate Hibernation (binary),16,18,17,17,18,14,16.666666666666668
