,OLS,Ridge,Kernel Ridge,RF,SVR
StorageOrgan,[ 0.28946295 -0.03754292  0.78294406  0.13755372  0.08374303],[ 0.27013066 -0.0293796   0.71781006  0.13836507  0.05267281],[-0.01806146 -0.00036159  0.017822   -0.01689391  0.02217005],"[  1.29157480e-02   3.75118690e-05   0.00000000e+00   2.07482384e-03
   9.13180331e-06]",[-0.00910561  0.         -0.00916689 -0.00212235  0.00833141]
ReprModeCode,[ 0.02553073  0.16042567  0.6434129   0.34973662 -0.14307968],[ 0.01764369  0.16202815  0.55488046  0.31498532 -0.16241598],[ 0.02025442 -0.00770476  0.02158251 -0.00414581  0.0038469 ],[ 0.06758802  0.01027393  0.053524    0.          0.00116517],[ 0.01167838 -0.02407233  0.0118567   0.         -0.00336775]
flwr_mo_start,[ 0.11977808  0.11905323 -0.05883168 -0.01757854  0.00456074],[ 0.10771147  0.11464219 -0.05012764 -0.00846172 -0.02265255],[-0.02369838 -0.00107464 -0.00818192 -0.00289755  0.06947615],[ 0.02147671  0.00059081  0.05052834  0.00109796  0.02467931],[ 0.01243982  0.         -0.00804464  0.00154911  0.01889886]
flwr_mo_end,[ 0.20907838 -0.24325217  0.29124998  0.03600245  0.21996864],[ 0.20390292 -0.22882502  0.2775213   0.04234271  0.14960264],[ 0.0071721  -0.00285778 -0.00271582  0.00759711  0.00665266],[ 0.00118363  0.          0.          0.02609813  0.04856607],[ 0.01030492  0.          0.00913009  0.00489864  0.        ]
flwr_dur_mos,[-0.0056491  -0.30408515  0.26344738  0.04495565  0.14007052],[ 0.00543269 -0.28923578  0.24389917  0.03819082  0.12622492],[-0.00755835  0.00336054 -0.0322891  -0.00254909  0.04873756],[ 0.02955417  0.00685648  0.03784912  0.03025759  0.02449094],[-0.00236104  0.00386128 -0.00706886  0.00396193  0.01456335]
earliest_seed_shed_mo,[-0.69506745 -0.32202852 -0.08852398  0.11746868 -0.16061857],[-0.66795459 -0.30389813 -0.1100096   0.07262375 -0.14941616],[-0.10945177 -0.01434779 -0.06728876 -0.04293952  0.00921625],[ 0.16644408  0.26055997  0.03892123  0.00048828  0.01507176],[-0.02221818 -0.02481057 -0.04931209 -0.00488009 -0.00993667]
latest_seed_shed_mo,[-0.14174776  0.39631322 -0.1446946  -0.26256684 -0.24059412],[-0.11901196  0.41064648 -0.12466934 -0.23062109 -0.24975921],[ 0.02941563  0.          0.00495224  0.03323675 -0.00535865],[ 0.30252327  0.11087806  0.20526194  0.13187706  0.11172909],[ 0.02798315  0.00522052  0.04750058  0.00153462 -0.00101768]
seed_shed_dur_mos,[-0.09045703  0.09701792 -0.31565606 -0.2494684  -0.15086309],[-0.09509558  0.09484304 -0.28378473 -0.22818034 -0.0886591 ],[-0.01869465 -0.00829145 -0.03538331  0.00399706  0.02247308],[ 0.0055239   0.02270969  0.00122653  0.01097864  0.13805861],[ 0.01273731 -0.02336295 -0.02371649  0.          0.00947466]
seed_mass_mg,[-0.58771844 -0.07095766 -0.10127447 -0.52461945 -0.63021693],[-0.55536619 -0.07391738 -0.08273837 -0.49028121 -0.57630482],[-0.0019776   0.01417093 -0.00691607 -0.00462472  0.01043641],[ 0.03361013  0.00629971  0.09739168  0.0200875   0.01096737],[ 0.00201905 -0.05005825 -0.00757208  0.00223658  0.00244613]
diaspore_mass_mg,[-0.08194251 -0.03236733  0.30535361 -0.03047641 -0.27370232],[-0.08719729 -0.04652469  0.29171507 -0.0372885  -0.2451365 ],[-0.00210378  0.01718964  0.0083445  -0.00282533  0.00629229],[ 0.0239803   0.09946281  0.0439548   0.06360824  0.02813964],[ 0.00847383 -0.05219561 -0.00313279  0.00399708  0.00227965]
diaspore_min_len_mm,[ 0.6023686   0.00825492  0.22229119  0.42906207  0.25590739],[ 0.57381447 -0.01588894  0.20686576  0.40525011  0.24789665],[-0.00697489  0.04168137  0.00178961 -0.00476472 -0.00374018],[ 0.01533113  0.00261182  0.01544592  0.0701021   0.00608598],[-0.01281609 -0.02460001 -0.00332957 -0.00332507 -0.00220235]
diaspore_max_len_mm,[ 0.27299997  0.04104945  0.44818581  0.3710217   0.3363524 ],[ 0.26173697  0.02788066  0.4135374   0.33588191  0.31162381],[-0.00652534  0.02592328  0.00948333 -0.00683455  0.        ],[ 0.03562416  0.01776537  0.01695015  0.03677217  0.04352651],[-0.00582445 -0.04053228  0.00385375 -0.00184758  0.        ]
diaspore_ave_len_mm,[ 0.38978129  0.03117186  0.34126021  0.35373964  0.24055957],[ 0.37361167  0.0105944   0.31550031  0.32694546  0.22943225],[-0.00658554  0.03410551  0.00671921 -0.00583679 -0.0017137 ],[ 0.00172134  0.04566601  0.01280883  0.01743783  0.01911781],[-0.00883946 -0.02438744  0.00121979 -0.00355174 -0.00154473]
Min_seed_shed_ht_m,[-0.53405184 -0.17882993 -0.48494068 -0.43060727 -0.40023915],[-0.48609941 -0.17451123 -0.45127377 -0.42442366 -0.36663615],[-0.02682663 -0.01241945  0.00465601  0.01537766  0.005422  ],"[  1.17800083e-05   3.05344608e-02   0.00000000e+00   2.18487446e-02
   2.09728300e-03]",[ 0.01223037 -0.04784162  0.01684102 -0.00065084  0.00094409]
Max_seed_shed_ht_m,[ 0.24662355  0.11753505 -0.13501939 -0.24116662  0.24618427],[ 0.23081812  0.11413627 -0.11811137 -0.22564042  0.2258837 ],[-0.00612209  0.01371043  0.00259923 -0.01793846 -0.00980651],"[  1.10332177e-05   2.68401252e-02   5.18614779e-02   8.05620300e-03
   9.06822442e-02]",[ 0.00064266 -0.01906166  0.00584273 -0.0057084  -0.00289025]
Ave_seed_shed_ht_m,[ 0.06886812  0.0511484  -0.22593018 -0.29807395  0.10091769],[ 0.0677784   0.04946289 -0.2041904  -0.28409965  0.09274096],[-0.01053253  0.00879846  0.00403242 -0.01311313 -0.00468728],[ 0.11443685  0.06856445  0.02777877  0.12858969  0.00136315],[ 0.00306053 -0.02851557  0.0073223  -0.00423899 -0.00137032]
nichebreadth_num_flor_zones,[-0.88224835 -0.36804237 -0.10212903 -0.48550009 -0.65666885],[-0.83468863 -0.34161783 -0.1058178  -0.47625389 -0.60520552],[ 0.06153697  0.02432511 -0.00155128  0.05728902 -0.06215199],[ 0.00400007  0.01211256  0.10384313  0.22553365  0.0109722 ],[-0.02379115  0.05220393  0.00412837  0.00897003 -0.0237021 ]
nichebreadth_amplit_ocean,[-0.23120462 -0.03813163 -0.51457395  0.16397439  0.25955515],[-0.22282034 -0.04556771 -0.49252339  0.16693884  0.24589452],[ 0.02339323 -0.00285511  0.02141234  0.03143617 -0.02260668],[ 0.00066629  0.00556811  0.01135824  0.00093058  0.00211258],[-0.00676658 -0.00185081  0.02309135 -0.00090176 -0.00581258]
Nbound_lat_GBIF_nosyn,[-0.08248533  0.03823609  0.08776042 -0.55426869 -0.17391454],[-0.08858285  0.01748238  0.09903142 -0.49767896 -0.15981162],[ 0.02856817  0.01008963  0.02925012  0.02288865 -0.05622097],[ 0.05182212  0.016099    0.02358312  0.03305534  0.00227424],[-0.02176462  0.01462648 -0.00217779  0.00477554 -0.02172277]
