,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
earliest_seed_shed_mo,10,9,0,0,13,0,5.333333333333333
nichebreadth_num_flor_zones,2,2,2,2,15,19,7.0
diaspore_min_len_mm,6,5,10,10,17,4,8.666666666666666
diaspore_max_len_mm,7,7,15,15,6,5,9.166666666666666
seed_shed_dur_mos,15,16,6,6,1,11,9.166666666666666
BreedSysCode_2.0,1,1,16,16,0,24,9.666666666666666
diaspore_ave_len_mm,8,8,13,13,11,7,10.0
latest_seed_shed_mo,25,27,3,3,2,1,10.166666666666666
MaxAlt,5,6,18,18,4,16,11.166666666666666
seed_mass_mg,4,4,23,23,16,2,12.0
oceanity_so,20,22,5,5,19,3,12.333333333333334
Nbound_lat_GBIF_nosyn,16,15,7,7,20,10,12.5
Min_seed_shed_ht_m,3,3,21,21,22,17,14.5
GenTime,21,19,14,14,12,9,14.833333333333334
BreedSysCode_3.0,0,0,28,28,7,29,15.333333333333334
flwr_mo_end,19,18,19,19,5,13,15.5
dispersal_mode_gravity,14,13,1,1,33,31,15.5
ReprModeCode,13,14,8,8,24,33,16.666666666666668
flwr_mo_start,31,31,9,9,9,12,16.833333333333332
diaspore_mass_mg,33,33,12,12,8,6,17.333333333333332
oceanity_os,12,11,22,22,18,20,17.5
nichebreadth_amplit_ocean,26,23,4,4,21,28,17.666666666666668
Max_seed_shed_ht_m,30,29,17,17,3,15,18.5
StorageOrgan,9,10,29,29,28,25,21.666666666666668
oceanity_sks,11,12,31,31,14,32,21.833333333333332
Ave_seed_shed_ht_m,27,28,20,20,23,14,22.0
dispersal_mode_animal,23,20,33,33,27,8,24.0
SI01_0.0,17,25,26,26,29,21,24.0
BreedSysCode_4.0,22,21,24,24,26,27,24.0
flwr_dur_mos,32,32,25,25,10,23,24.5
dispersal_mode_wind,29,30,11,11,35,34,25.0
oceanity_o,18,17,34,34,32,22,26.166666666666668
oceanity_sos,24,24,30,30,25,30,27.166666666666668
SI01_1.0,28,26,27,27,37,18,27.166666666666668
BreedSysCode_1.0,34,34,32,32,36,26,32.333333333333336
oceanity_ks,36,35,36,36,31,36,35.0
Resil,37,36,35,35,30,37,35.0
dispersal_mode_water,35,37,37,37,34,35,35.833333333333336
