,OLS,Ridge,Kernel Ridge,RF,SVR
Depth,"[ 0.08748552  0.13926981  0.08103034  0.05598886  0.18345623  0.09291231
  0.09276744  0.09554902  0.06200491  0.13338111]","[ 0.09127789  0.09843932  0.08237048  0.05995234  0.13225456  0.08732719
  0.09377321  0.08232788  0.05964859  0.10534767]","[-0.05061982 -0.12813172  0.14142823  0.04074276 -0.05109786  0.1160294
 -0.0072559  -0.04380983 -0.04433519  0.23891738]","[ 0.26552772  0.27048349  0.30704613  0.28582313  0.16305536  0.26986505
  0.28786548  0.32145696  0.25139385  0.22240058]","[ 0.00245847 -0.03676119 -0.00090942 -0.0011384   0.00367761 -0.0004032
 -0.00702236  0.00117751 -0.00180615 -0.00026458]"
FishBase Vulnerability,"[-0.03506374 -0.13799225  0.028703   -0.04494813 -0.07438004 -0.03785072
 -0.02611571 -0.03509714 -0.01943824  0.08083286]","[-0.06231316 -0.14471586 -0.06841205 -0.07221278 -0.09571377 -0.07292075
 -0.07490899 -0.06375319 -0.04639008  0.00896265]","[ 0.08599621 -0.05853049 -0.07854629  0.06802696 -0.07062552 -0.15474804
 -0.10680575  0.073582   -0.03898349  0.01690129]","[ 0.27079105  0.24095483  0.24860385  0.22721306  0.3010164   0.30897844
  0.22811438  0.25726026  0.25960267  0.32436713]","[ 0.00211631 -0.0287944  -0.00084743 -0.00139981  0.00406998 -0.00027246
 -0.03230171  0.0031091  -0.00216001 -0.00034142]"
Length,"[-0.02376739 -0.06015137 -0.20459764 -0.02078965  0.04269218 -0.03231155
 -0.01623176 -0.02333455 -0.03060582 -0.0541156 ]","[ 0.01358076 -0.05095602 -0.03247385  0.03219891  0.07289085  0.00633902
  0.01644491  0.01605366  0.00608079  0.0050021 ]","[ 0.02194672 -0.15470478  0.06252576 -0.0093537   0.15136542  0.03277143
 -0.01581894  0.00363078 -0.00935109  0.08341046]","[ 0.29026501  0.27301005  0.29046524  0.26085698  0.2529746   0.17478382
  0.2313207   0.23498796  0.25651099  0.2202959 ]","[ 0.00248111 -0.04131556 -0.00089932 -0.00083029  0.00559871 -0.00032241
 -0.00660614  0.00287983 -0.00193264 -0.00029295]"
Aquaculture: Commercial Species,"[ -1.93834282e-01   4.77155050e-01  -6.08441685e-01  -2.08166817e-16
  -1.54273617e+00  -5.70426408e-01  -4.03112430e-01  -5.40286978e-01
  -5.56472473e-01  -5.45098629e-01]","[-0.01716087 -0.00697624 -0.04456811  0.         -0.08212379 -0.04476826
 -0.03869889 -0.0456666  -0.0488716  -0.04098055]","[ 0.         -0.00192335  0.          0.          0.00246323  0.00077521
 -0.00036123  0.00043647  0.00037399  0.00340959]","[  5.37484934e-03   2.59225693e-06   0.00000000e+00   0.00000000e+00
   1.74625753e-03   2.71553623e-03   0.00000000e+00   1.84277319e-05
   9.95244263e-03   1.19940144e-03]","[ 0.00309993 -0.0009034  -0.00091573  0.          0.00380449 -0.00028896
 -0.00236511  0.00206381 -0.00184637 -0.00029365]"
Aquaculture: Future Likely,"[  1.66533454e-16  -4.05817003e-01   3.46332211e-01   1.06699286e-01
   5.05395883e-01   2.19177372e-01   8.78577067e-02   1.74706847e-01
   1.96910955e-01   1.05817362e-01]","[ 0.         -0.00787302  0.00094341  0.00214752 -0.01949191 -0.00286175
 -0.00808897 -0.00488263 -0.00446697 -0.00704462]","[ 0.         -0.00129991  0.          0.          0.00065882  0.         -0.000779
  0.          0.          0.00173435]","[  0.00000000e+00   7.66207067e-07   5.00259081e-06   4.41502060e-03
   0.00000000e+00   4.46784642e-06   0.00000000e+00   1.86557768e-06
   5.66206834e-05   4.85044502e-06]","[ 0.         -0.00089533 -0.00061782 -0.00112298  0.00326042 -0.00027585
 -0.00258644  0.00246227 -0.00176687 -0.0003806 ]"
Aquaculture: Never/Rarely,"[ 0.06471075 -0.14885309  0.22349904  0.01260762  0.97448421  0.27048159
  0.19796418  0.29646414  0.30308118  0.27446733]","[ 0.01716087  0.01484926  0.0436247  -0.00214752  0.1016157   0.04763001
  0.04678787  0.05054923  0.05333857  0.04802516]","[ 0.         -0.00236595  0.          0.          0.00293181  0.00079542
  0.          0.00048316  0.00046037  0.00334838]","[  2.69946516e-03   2.78839320e-02   6.64936155e-04   0.00000000e+00
   9.32020056e-07   0.00000000e+00   3.13872921e-03   7.91654220e-05
   5.24531334e-03   3.34438128e-03]","[ 0.00247484 -0.00118618 -0.00102129 -0.0011686   0.00324911 -0.00027907
 -0.00237625  0.00251715 -0.00140742 -0.00038556]"
Bathydemersal,"[-0.00732927  0.03482169 -0.09586101 -0.07979369 -0.02181581 -0.12099402
 -0.03768664 -0.08457279 -0.01154711 -0.07134657]","[ 0.03396441  0.01443522  0.00708489 -0.03453459 -0.04363098 -0.0394827
 -0.01834297 -0.01846608  0.01845448 -0.02873317]","[-0.007948   -0.0031301   0.00710419 -0.01454936  0.00474591 -0.01661556
 -0.00377069  0.00067242  0.0248877   0.00572175]","[ 0.01273679  0.05228382  0.02017853  0.01184174  0.00869336  0.017469
  0.0076183   0.03442414  0.01733138  0.02457654]","[ 0.00258086  0.         -0.00086993 -0.00093812  0.00328485 -0.00029204
 -0.00194056  0.00281379 -0.00154041 -0.00026646]"
Benthopelagic,"[ 0.6935197  -0.67173329  0.75349434  1.33770955  0.70983792  0.68603697
  0.70988432  0.62105247  0.60148763  1.04383177]","[ 0.18672714 -0.08454509  0.17529266  0.28635306  0.13088755  0.16683813
  0.16420479  0.15553552  0.1467231   0.18409843]","[-0.00562524  0.         -0.00534542 -0.00806877 -0.00513166 -0.00966508
 -0.00789506 -0.00551561 -0.00656799  0.13376056]","[  3.93938897e-02   9.47527631e-05   4.12864739e-02   1.39694052e-02
   8.57299297e-02   4.96911460e-02   5.32752819e-02   2.98922011e-02
   6.97603091e-02   2.17768089e-02]","[ 0.00352983 -0.00064625 -0.00056316 -0.00097855  0.00363232 -0.00021638
 -0.00350822  0.00299584 -0.0016188  -0.00037739]"
Demersal,"[ 0.00951253  0.12512565 -0.04789008  0.06246727  0.31127225  0.08041653
  0.05402379 -0.03760215 -0.05023487  0.15259632]","[ 0.05528555  0.08043498  0.03631551  0.067127    0.17523042  0.09984218
  0.0426949   0.01349811 -0.00365644  0.13917646]","[ 0.03886257  0.03132842  0.00823915 -0.06794653  0.06034117 -0.02398829
 -0.03075061  0.01764329 -0.01229316 -0.02839114]","[ 0.01279558  0.02235154  0.01824325  0.02588673  0.03619391  0.03561935
  0.02867905  0.02577002  0.02246891  0.03643058]","[ 0.00253371  0.00245136 -0.0005494  -0.00097445  0.00446746 -0.00026078
 -0.00595906  0.00247173 -0.00163848 -0.00035592]"
Pelagic-Neritic,"[-0.61845784  0.56070033 -0.54257491 -0.96737315 -0.96739221 -0.43745012
 -0.02555783 -0.49255697 -0.53067046 -0.48205682]","[-0.16407155  0.10362957 -0.10706279 -0.19254973 -0.12984637 -0.09912212
 -0.00898486 -0.10836932 -0.12191434 -0.11629928]","[ 0.01073211 -0.00560384  0.00275292  0.01052877  0.00841291  0.003952
 -0.00056161  0.00919092  0.00790792  0.00504603]","[ 0.02198989  0.03355788  0.02687435  0.10364131  0.08132677  0.06551964
  0.05020032  0.04524788  0.02971728  0.04241153]","[ 0.00252494 -0.00170823 -0.00083276 -0.00102246  0.00355151 -0.00023952
 -0.00294946  0.00286766 -0.00195851 -0.0002972 ]"
Pelagic-Oceanic,"[ 0.59136865  0.52139131  0.70365886  0.56307511  0.61791436  0.5473274
  0.60028628  0.53501357  0.49504613  0.        ]","[ 0.05529381  0.04249026  0.05407655  0.04938356  0.04557607  0.04908071
  0.04871834  0.04858026  0.04495811  0.        ]","[ 0.         -0.0019452   0.00269925 -0.00068419  0.         -0.00071873
 -0.00125926  0.         -0.00089706  0.        ]","[  2.62683533e-03   1.88583097e-02   0.00000000e+00   0.00000000e+00
   0.00000000e+00   4.80330989e-03   3.76205216e-04   4.97670758e-07
   1.43764323e-04   0.00000000e+00]","[ 0.00271364 -0.00080059 -0.00080185 -0.00104774  0.00417676 -0.00038532
 -0.00253718  0.00315603 -0.00186937  0.        ]"
Reef-Associated,"[-0.7977373  -0.64782074 -0.80943764 -0.79677819 -0.71267258 -0.83610422
 -1.41824046 -0.61045012 -0.56056165 -0.80783864]","[-0.16719937 -0.15644495 -0.16570681 -0.1757793  -0.17821668 -0.17715619
 -0.22829019 -0.09077848 -0.08456491 -0.17824244]","[ 0.00550022  0.00445223  0.00302929  0.00600316  0.00797482  0.00681136
  0.0054181   0.00206006  0.00196139  0.00796964]","[ 0.05181304  0.03328351  0.01101898  0.02671485  0.02536115  0.02946218
  0.04751123  0.01359535  0.01288761  0.0247147 ]","[ 0.00232951 -0.00024833 -0.00066522 -0.00087992  0.00396422 -0.00027207
 -0.00134389  0.00264611 -0.00181942 -0.00033785]"
Freshwater: Present,"[-0.25194407 -0.27790161  0.01460012  0.44415219  0.9091512   0.05691552
 -0.05068938  0.05181406  0.05162204 -0.18098333]","[-0.0849136  -0.03416123 -0.04013335  0.00696844  0.06415869 -0.03211235
 -0.03392379 -0.03409135 -0.04078505 -0.05970863]","[ 0.00325369  0.          0.00087668  0.         -0.00213933  0.0024802
  0.0007952   0.00136418  0.00159205  0.00583899]","[ 0.00827568  0.00387097  0.00093445  0.01526928  0.00114418  0.00835795
  0.03160116  0.0111545   0.00708134  0.01831738]","[ 0.00271002 -0.0012753  -0.00075503 -0.00095691  0.00275396 -0.00027689
 -0.002521    0.00289995 -0.0015183  -0.00034524]"
Freshwater: Not Present,"[ 0.12282054  0.20038657 -0.05321056 -0.32484528 -0.97200726 -0.13768297
 -0.06660116 -0.12093006 -0.10810238  0.01616939]","[ 0.0849136   0.03416123  0.04013335 -0.00696844 -0.06415869  0.03211235
  0.03392379  0.03409135  0.04078505  0.05970863]","[ 0.00331632  0.          0.00261054  0.         -0.00226509  0.00235744
  0.00083276  0.00127238  0.0015937   0.00546118]","[ 0.00014502  0.00386917  0.00879689  0.00442798  0.00895573  0.01715429
  0.01662196  0.00830942  0.02399428  0.02533917]","[ 0.00296865 -0.00091869 -0.00086933 -0.00118654  0.00250865 -0.00028124
 -0.0028578   0.00303338 -0.00169216 -0.00035612]"
Brackish: Present,"[-0.06158329 -0.02857601  0.10563821 -0.0607567  -0.06998993 -0.06245705
 -0.10171505 -0.0139592  -0.01749557  0.01595433]","[-0.03096061 -0.01609766  0.04259203 -0.00452579  0.00299696 -0.01316509
 -0.01815258  0.00154328 -0.00982963  0.0001449 ]","[ 0.00627916 -0.00057761  0.          0.00063434  0.00167879  0.00158086
  0.00113329  0.00142935  0.00120616 -0.00558789]","[ 0.01355917  0.00566762  0.00136753  0.00221981  0.02792571  0.01093622
  0.01126056  0.00801851  0.00038683  0.02401433]","[ 0.00223516 -0.00146552 -0.00065795 -0.00105054  0.00416091 -0.00035488
 -0.00364758  0.00215768 -0.00168648 -0.00030949]"
Brackish: Not Present,"[-0.06754024 -0.04893903 -0.14424865  0.1800636   0.00713386 -0.01831039
 -0.01557548 -0.05515679 -0.03898477 -0.18076827]","[ 0.03096061  0.01609766 -0.04259203  0.00452579 -0.00299696  0.01316509
  0.01815258 -0.00154328  0.00982963 -0.0001449 ]","[ 0.00636135 -0.00066175  0.          0.00065409  0.00175676  0.00144122
  0.00132666  0.0014317   0.00116327 -0.00576141]","[ 0.002006    0.01382678  0.02451439  0.01772069  0.00587571  0.00463958
  0.00241663  0.00978284  0.03346642  0.01080673]","[ 0.00321847 -0.00148573 -0.00106159 -0.00100114  0.00297309 -0.00026295
 -0.00281975  0.00240056 -0.00197347 -0.00040626]"
Saltwater: Present,"[-0.12912353 -0.07751504 -0.03861044  0.1193069  -0.06285607 -0.08076745
 -0.11729054 -0.06911599 -0.05648034 -0.16481394]",[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
