index,Kernel Ridge,OLS,RF,Ridge,SVR
Depth,0.02118674523387731,0.10238455518727932,0.2644917752397108,0.08927191335356813,-0.00409917157275841
Reef-Associated,0.005118027519749894,-0.799764154448775,0.027636259969555405,-0.160237931732273,0.0003373146982820677
FishBase Vulnerability,-0.026373312434683455,-0.03013501022074454,0.26669020754516126,-0.0692377978837595,-0.005682185550308597
Benthopelagic,0.007994573035458283,0.6485121384535882,0.0404870198198403,0.15121152748989714,0.00022492375241526695
Pelagic-Neritic,0.005235812202464179,-0.4503389975796888,0.05004868482043227,-0.09445908014219026,-6.40392426817086e-06
Length,0.016642204044485832,-0.042321314888542606,0.248547125566226,0.00851611280716417,-0.004123964243883594
Freshwater: Not Present,0.0015179231138200467,-0.14440031808053916,0.011761390279193944,0.02887022216627641,3.488050519500122e-05
Demersal,-0.0006955112166762152,0.06596872481461477,0.02644389253283061,0.07059486568789607,0.00021861675899557167
Freshwater: Present,0.0014061649318700253,0.07667367458719129,0.010600690211488736,-0.02887022216627643,7.152723626239606e-05
Aquaculture: Commercial Species,0.0005173912290976714,-0.4483254001069515,0.002100950716367125,-0.03698149145173808,0.00023549934477915162
Pelagic-Oceanic,-0.0002805187468548388,0.5175081674337172,0.002680892209896529,0.04381576671626096,0.00026043719640914353
Aquaculture: Never/Rarely,0.0005653186201462872,0.24689069477621084,0.004305685455219687,0.04214338520813411,4.1672444818964625e-05
Bathydemersal,-0.00028817642934381437,-0.04961252216680474,0.020715361328539503,-0.010925148019590911,0.0002831986406545299
Brackish: Present,0.0007776440049534931,-0.029494026254672512,0.010535629011351433,-0.004545417805033386,-6.186971107493254e-05
Brackish: Not Present,0.0007711882200138676,-0.03823261723867535,0.012505575899381977,0.004545417805033392,-4.1877134022614335e-05
Aquaculture: Future Likely,3.142576653662951e-05,0.13370806183739292,0.0004488593948045041,-0.005161893756396023,-0.0001923199971008907
Saltwater: Present,0.0,-0.06772664349334792,0.0,0.0,0.0
