speciesname,RearEdge,Optimum,LeadingEdge,RelativeAbundance,TemperatureIndicator,NutrientIndicator,TerminalVelocity,RetInFurCattle,RetInFurSheep,GutSurvival,SeedReleaseHeight,Dispersal,LifeStrategy,LifeSpan,Dominance,NoOfVegOffspings,Persistence
Achillea atrata,373,316,-21,0.26,1,2,1.15,20,82,0.031,14,-0.489710643,css,6,3,4,0.507321449
Achillea clavennae,59,10,-38,0.14,1.5,2,2.38,18,79,0.027,18,0.068183334,css,10,3,2,0.244832848
Acinos alpinus,-44,-39,21,0.77,2,2,2.28,8,57,0.012,18,0.869754486,crs,6,1,5,-0.41747471
Adenostyles alliariae,-122,17,-46,1.1,2,4,0.77,11,88,0.015,85,0.175261138,ccs,2,4,1,1.178155674
Agrostis alpina,-11,7,-60,0.6,1.5,2,1.57,24,100,0.04,15,-0.871928978,crs,35,2,6,0.540163536
Ajuga pyramidalis,-141,-361,-56,0.65,2,2,6.24,9,59,0.012,19,2.062387462,crs,4,1,3,-0.986070132
Androsace chamaejasme,-24,6,-21,0.34,1.5,2,3.48,16,74,0.023,6,0.502558695,crs,20,2,4,-0.206095706
Androsace obtusifolia,-32,-213,-78,0.08,1.5,2,3.04,14,72,0.02,6,0.480269991,css,1,1,1,-1.3702147
Anemonastrum narcissiflorum,262,458,154,0.7,2,3,2.93,1,34,0.005,15,1.789344088,crs,3,1,1,-1.437830881
Arabis bellidifolia s.lat.,-280,182,98,0.21,1.5,2,1.62,6,53,0.038,23,0.829157628,rss,2,1,2,-1.435372892
Arabis caerulea,-28,39,3,0.54,1,2,1.35,6,55,0.04,5,0.5544366,rss,12,1,2,-1.161834089
Arctostaphylos alpinus,158,38,-1,-0.45,1.5,2,3.24,0,14,0.002,23,2.402820293,ccs,122,3,3,2.28453256
Arctostaphylos uva-ursi,285,367,103,0.48,2,2,3.24,0,21,0.002,40,2.397970465,ccs,80,4,1,2.136004819
Arenaria ciliata s.str.,-70,-12,-8,-0.37,1,2,2.04,21,84,0.034,21,-0.224395641,crs,5,1,6,-0.105915559
Aster alpinus,-3,-18,-15,-0.44,2,2,1.83,11,89,0.015,10,-0.117458801,crs,12,2,4,-0.252127432
Avenella flexuosa,-28,206,106,0.1,3,2,1.78,8,84,0.012,22,0.176366084,css,3,4,5,1.90393529
Avenula versicolor,-67,63,22,0.14,1.5,2,1.99,9,84,0.012,28,0.253844343,css,23,2,4,-0.070362621
Bartsia alpina,39,384,-3,0.35,2,3,1.71,22,85,0.035,7,-0.501635831,rss,11,2,4,-0.463720636
Betonica alopecuros,132,-21,-378,0.4,2.5,3,4.05,13,69,0.018,23,1.046474282,ccs,15,2,1,-0.42378561
Botrychium lunaria,63,102,31,0.08,2,2,2.11,20,77,0.104,18,-0.125412485,crs,1,1,1,-1.461197804
Calamagrostis villosa,-62,-11,-4,0,2,2,0.4,33,97,0.067,90,-0.916620885,ccs,48,5,3,1.244416018
Campanula barbata,125,16,-10,0.05,2,2,1.42,44,100,0.118,25,-1.619570384,crs,9,1,1,-1.373571842
Carduus defloratus s.lat.,0,-159,-34,0.83,2.5,3,0.81,5,75,0.008,62,0.488647253,crs,7,2,1,-1.095673779
Carex atrata agg.,-109,-43,6,0.66,1.5,NA,2.24,20,81,0.03,22,-0.057266628,crs,9,2,2,-0.780645736
Carex capillaris,-95,-298,-124,0.42,1.5,1,3.14,16,75,0.023,18,0.471466673,css,28,2,4,0.212311334
Carex ericetorum,-75,-71,-58,-0.34,3,1,4.34,13,69,0.018,20,1.111272416,crs,18,2,4,-0.30785833
Carex ferruginea,527,487,295,0.72,2,3,2.25,12,91,0.018,45,0.223458041,ccs,79,4,4,2.822416479
Carex firma,16,31,-18,0.15,1.5,1,2.26,11,89,0.016,13,0.039249804,css,53,4,2,1.479795736
Carex mucronata,-399,-11,55,-0.5,2.5,2,2.41,11,90,0.016,20,0.127964696,css,60,3,6,1.787151439
Carex ornithopoda agg.,-151,-90,-42,1.29,NA,2,2.17,19,76,0.084,22,4.52E-05,crs,9,2,2,-0.780645736
Carex rupestris,22,-71,-75,-0.64,1.5,1,2.29,14,72,0.02,10,0.273196961,css,27,3,1,0.091107706
Carex sempervirens,-24,-79,-56,0.57,1.5,2,2.87,12,90,0.017,30,0.320336784,css,43,3,4,0.939129573
Cerastium arvense,85,80,81,0.12,4,3,2.44,26,90,0.045,18,-0.441211227,crs,24,3,4,0.52168417
Cerastium carinthiacum,-387,33,24,-0.04,1.5,2,2.17,19,76,0.084,22,4.52E-05,css,39,3,3,0.724226713
Cerastium uniflorum,156,319,43,0.11,1,2,1.43,24,88,0.04,5,-0.747205889,crs,39,3,4,0.701633863
Chaerophyllum villarsii,283,-175,-57,0.95,2,3,1.76,3,41,0.006,24,1.264621832,ccs,4,3,1,0.343906093
