Scientific_name,Order,Migratory01,CA,NB,CO,Nlat,Clutchsize,Clutchnum,Annfecund,avg_mass,open_fw,Dietsum,Foragesum,Bio1_mean,Bio1_std,Flight_rank,Wingload,Rangekm2,Signif_shift2
Accipiter_striatus,Accipitriformes,1,8.71,0.18,1.74,49.9667,4.5,1,4.5,139.75,0,1,1,12.2587482,4.543924276,4,0.050143616,20647883.86,0
Actitis_macularius,Charadriiformes,1,-3.77,1.92,-1.17,49.2667,4,1,4,41.835,1,2,1,17.06671377,4.169057327,3,0.089834444,34195514.28,1
Aeronautes_saxatalis,Apodiformes,1,-6.17,0.51,0.27,39.2333,4.5,1,4.5,31.2,0,1,1,16.0849234,2.915613611,NA,NA,3402610.387,0
Agelaius_phoeniceus,Passeriformes,1,-5.25,0.35,-0.63,50.9167,3.28,1.7,5.576,57.15,0,2,3,11.87235545,4.589093015,3,0.0693265,14082216.14,0
Agelaius_tricolor,Passeriformes,0,8.33,6.48,0.58,39.7,3.5,2,7,56.25,1,3,2,15.47369375,1.50036066,3,0.0693265,113082.3343,1
Aimophila_aestivalis,Passeriformes,0,-6.7,14.71,-3.24,37.2,3.9,1.5,5.85,19.6,0,2,1,19.76776522,2.106297308,3,0.072396828,1739307.212,1
Aimophila_cassinii,Passeriformes,1,-0.96,0.61,-2.23,32.25,4.4,1,4.4,17.95,0,1,1,20.08166667,3.130029775,3,0.082301325,2273653.57,0
Aimophila_ruficeps,Passeriformes,0,1.27,-0.5,1.38,39.7,3.5,1.5,5.25,17.75,0,2,2,15.95361967,2.286048002,3,0.078594317,1188089.295,0
Aix_sponsa,Anseriformes,1,1.64,7.02,-0.39,53.5167,13,2,26,673,1,2,1,12.97975523,4.372934381,2,0.106463219,8870644.995,1
Alectoris_chukar,Galliformes,0,-6.39,-1.06,0.39,49.5333,15.5,1,15.5,552,0,3,1,9.175381818,3.032582415,1,0.135618634,971656.5739,0
Ammodramus_henslowii,Passeriformes,1,-2.94,-6.17,0.02,35.7636,4.12,2,8.24,12.75,0,2,1,19.25602222,1.908942937,3,0.072818301,1750650.401,0
Ammodramus_leconteii,Passeriformes,1,-3.74,2.92,-1.57,40.35,4.51,1.5,6.765,13.8,0,2,1,17.68057324,3.169875796,3,0.072818301,5590076.683,1
Ammodramus_maritimus,Passeriformes,0,-3.02,-3.79,-2.82,41.8833,3.66,1,3.66,23.25,0,2,2,16.45592105,4.133514369,3,0.072818301,210999.1112,0
Ammodramus_savannarum,Passeriformes,1,1.74,-4.88,1.84,43.0833,4.3,2,8.6,18.285,0,2,1,18.58462759,4.439645304,3,0.078594317,7887392.147,0
Amphispiza_belli,Passeriformes,1,-0.55,2.14,0.62,42.4833,6.54,2,13.08,18.1,0,2,2,15.561455,3.946616621,3,0.072818301,1844339.15,1
Amphispiza_bilineata,Passeriformes,1,-1.96,-6.83,1.13,36.35,2.8,2.5,7,13.6,0,2,3,17.09610323,3.593709607,3,0.072818301,2447022.831,0
Anas_acuta,Anseriformes,1,-3.26,3.92,2.03,52.0667,8,1,8,844.3,1,2,1,12.82566614,4.425303108,2,0.128764605,18811909.49,1
