,autoctr,RefNo,RMSNo,Author,Year,Title,Source,SourceUnique,ShortCitation,FirstAuthor,Language,Complete,RefType,Keywords,Remarks,CrossRef1,CrossRef2,CrossRef3,CrossRef4,CrossRef5,CAS_REF_NO,Ecology,Ecotoxicology,PopDynamics,Aquaculture,Brains,Reproduction,Migration,Growth,Recruitment,Vision,Ciguatera,FryNursery,Maturity,Distribution,Mortality,FarmingSystem,Eggs,Habitats,LengthWeight,LengthFreq,Strains,Larvae,Environment,Stocks,Genetics,Spawning,Abundance,Catches,Electrophoresis,SexRatio,Activity,Effort,Diseases,Predators,Behavior,Management,Introduction,Competitors,Food,Nomenclature,Revision,Physiology,Morphology,Otolith,FoodConsum,OrigDescr,Oxygen,MaxLength,Diet,RawData,Speeds,MaxWeight,Longevity,Keys,Broodstock,EggNursery,LarvalNursery,Citation,Team,Aquarium,Processing,Comname,Pictures,Tagrecapture,Conservation,Checklist,ISBN,DOI,AuthorEmail,AuthorAdress,PaperURL,Used,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
1,10608,2850,2850,"Eschmeyer, W.N., E.S. Herald and H. Hammann",1983,A field guide to Pacific coast fishes of North America.,"Boston (MA, USA): Houghton Mifflin Company. xii+336 p.","Boston (MA, USA): Houghton Mifflin Company. xii+336 p.",Eschmeyer et al. 1983,Eschmeyer,English,NA,book,Distribution;,Ill.: Hammann.,NA,NA,NA,NA,NA,NA,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0-395-26873-9,,NA,NA,,all species used,2,1992-03-05T00:00:00.000Z,303,2017-03-31T08:54:21.000Z,2,1999-12-06T00:00:00.000Z,NA
2,39366,188,188,"Whitehead, P.J.P.",1985,"FAO Species Catalogue. Vol. 7. Clupeoid fishes of the world (suborder Clupeoidei). An annotated and illustrated catalogue of the herrings, sardines, pilchards, sprats, shads, anchovies and wolf-herrings.",FAO Fish. Synop. 125(7/1):1-303. Rome: FAO.,FAO Fish. Synop. 125(7/1):1-303. Rome: FAO.,Whitehead 1985,Whitehead,English,NA,book,habitat; biology; geographical distribution; size; diagnostic features; local names; synonyms; fishery; illustrations; Clupeioidei;COMMERCIAL SPECIES/MARINE FISHERIES/BIOLOGICAL DATA/CLUPEIDAE/ENGRAULIDIDAE/PRISTIGASTERIDAE/CHIROCENTRIDAE,"Part 1 - Chirocentridae, Clupeidae and Pristigasteridae.",173,187,40,NA,NA,5141,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,NA,,NA,NA,,used in part,2,1991-04-24T00:00:00.000Z,303,2017-10-20T00:02:09.000Z,967,2002-10-09T00:00:00.000Z,NA
3,7717,244,244,"Compagno, L.J.V.",1984,FAO Species Catalogue. Vol. 4. Sharks of the world. An annotated and illustrated catalogue of shark species known to date. Part 2 - Carcharhiniformes.,FAO Fish. Synop. 125(4/2):251-655. Rome: FAO.,FAO Fish. Synop. 125(4/2):251-655. Rome: FAO.,Compagno 1984,Compagno,English,NA,book,biology; synopsis; geographical distribution; MNHN;,NA,6390,NA,NA,NA,NA,6846,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,NA,NA,NA,NA,http://www.fao.org/docrep/009/ad123e/ad123e00.HTM,used completely,2,1991-04-24T00:00:00.000Z,1567,2010-08-12T00:00:00.000Z,2,1999-12-06T00:00:00.000Z,NA
4,26219,34024,34024,"Nielsen, J.G., D.M. Cohen, D.F. Markle and C.R. Robins",1999,"Ophidiiform fishes of the world (Order Ophidiiformes). An annotated and illustrated catalogue of pearlfishes, cusk-eels, brotulas and other ophidiiform fishes known to date.",FAO Fish. Synop. 125(18):178p. Rome: FAO.,FAO Fish. Synop. 125(18):178p. Rome: FAO.,Nielsen et al. 1999,Nielsen,English,NA,book,MARINE FISH/COMMERCIAL SPECIES/CATALOGUES/IDENTIFICATION KEYS/ BIOLOGICAL DATA/TAXONOMY/OPHIDIIFORMES; 93 genera,All species in FishBase except questionably valid species: Brotulina piger (p. 126). Used completely (except identification keys from p.70 to end). PDF now available.,NA,NA,NA,NA,NA,24448,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,92-5-104375-2,NA,NA,"Zoological Museum, University of Copenhagen, Denmark",NA,all species used,1,2000-05-11T00:00:00.000Z,1730,2012-03-16T00:00:00.000Z,NA,NA,NA
5,7394,12204,12204,"Coad, B.W.",1995,Encyclopedia of Canadian fishes.,Canadian Museum of Nature and Canadian Sportfishing Productions Inc. Singapore.,Canadian Museum of Nature and Canadian Sportfishing Productions Inc. Singapore.,Coad 1995,Coad,English,NA,book,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,NA,NA,used in part,97,1996-11-14T00:00:00.000Z,309,2007-07-31T00:00:00.000Z,NA,NA,NA
6,39389,189,189,"Whitehead, P.J.P., G.J. Nelson and T. Wongratana",1988,"FAO Species Catalogue. Vol. 7. Clupeoid fishes of the world (Suborder Clupeoidei). An annotated and illustrated catalogue of the herrings, sardines, pilchards, sprats, shads, anchovies and wolf-herrings.",FAO Fish. Synop. 125(7/2):305-579. Rome: FAO.,FAO Fish. Synop. 125(7/2):305-579. Rome: FAO.,Whitehead et al. 1988,Whitehead,English,NA,book,habitat; biology; geographical distribution; diagnostic features; synonyms; local names; fishery; illustrations;TAXONOMY/IDENTIFICATION KEYS/BIOLOGICAL DATA/ENGRAULIDIDAE,Part 2 - Engraulididae.,40,187,NA,NA,NA,5725,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,NA,NA,NA,NA,NA,used completely,2,1991-04-24T00:00:00.000Z,303,2012-03-16T00:00:00.000Z,967,2002-10-09T00:00:00.000Z,NA
7,7501,1371,1371,"Cohen, D.M., T. Inada, T. Iwamoto and N. Scialabba",1990,"FAO species catalogue. Vol. 10. Gadiform fishes of the world (Order Gadiformes). An annotated and illustrated catalogue of cods, hakes, grenadiers and other gadiform fishes known to date.",FAO Fish. Synop. 125(10). Rome: FAO. 442 p.,FAO Fish. Synop. 125(10). Rome: FAO. 442 p.,Cohen et al. 1990,Cohen,English,NA,book,59 genera; at least 180 species;,NA,NA,NA,NA,NA,NA,18936,-1,0,-1,0,0,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,NA,NA,used completely,2,1991-08-15T00:00:00.000Z,2,2017-07-25T00:00:00.000Z,2,2000-11-22T17:06:19.000Z,NA
8,7916,30193,30193,"Cooper, J.A. and F. Chapleau",1998,"Monophyly and intrarelationships of the family Pleuronectidae (Pleuronectiformes), with a revised classification.",Fish. Bull. 96(4):686-726.,Fish. Bull. 96(4):686-726.,Cooper et al. 1998,Cooper,English,NA,journal article,NA,NA,NA,NA,NA,NA,NA,26711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,all species used,1,1999-05-07T00:00:00.000Z,113,2006-09-27T00:00:00.000Z,1172,2016-12-04T00:00:00.000Z,NA
9,7716,247,247,"Compagno, L.J.V.",1984,FAO Species Catalogue. Vol. 4. Sharks of the world. An annotated and illustrated catalogue of shark species known to date. Part 1 - Hexanchiformes to Lamniformes.,"FAO Fish. Synop. 125(4/1):1-249. Rome, FAO.","FAO Fish. Synop. 125(4/1):1-249. Rome, FAO.",Compagno 1984,Compagno,English,NA,book,MNHN; biology; habitat; morphology; reproduction; synopsis; geographical distribution,NA,27605,27952,43278,NA,NA,6474,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,NA,NA,NA,NA,NA,used completely,2,1991-04-24T00:00:00.000Z,1730,2011-09-14T00:00:00.000Z,2,1999-12-06T00:00:00.000Z,NA
10,830,6793,6793,"Allen, M.J. and G.B. Smith",1988,Atlas and zoogeography of common fishes in the Bering Sea and northeastern Pacific.,"NOAA Tech. Rep. NMFS 66, 151 p.","NOAA Tech. Rep. NMFS 66, 151 p.",Allen et al. 1988,Allen,English,NA,report,biogeograaphy; vertical distribution; depth; checklist;s; atlases; Bering Sea; North Pacific; pisces;,"All species used except for <i>Raja stellulata</i> complex (p. 16), <i>Careprocuts melanurus</i> complex (p.66), and <i>C. rastrinus</i> complex (p. 67).",NA,NA,NA,NA,NA,NA,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,NA,NA,NA,NA,NA,all species used,2,1994-04-06T00:00:00.000Z,2,2017-03-03T00:00:00.000Z,2,1999-12-06T00:00:00.000Z,NA
11,1183,11954,11954,"Anderson, M.E.",1994,Systematics and osteology of the Zoarcidae (Teleostei: Perciformes).,Ichthyol. Bull. J.L.B. Smith Inst. Ichthyol. 60:120 p.,Ichthyol. Bull. J.L.B. Smith Inst. Ichthyol. 60:120 p.,Anderson 1994,Anderson,English,NA,journal article,CAS; LACM; MNHN;,NA,NA,NA,NA,NA,NA,21438,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,NA,NA,NA,NA,used in part,14,1996-08-29T00:00:00.000Z,113,2006-06-16T00:00:00.000Z,NA,NA,NA
