,Kernel Ridge,OLS,RF,Ridge,SVR
TemperatureIndicator,-0.05088620181382671,0.1435249207876068,0.11410692422294502,0.16800512296436096,0.0023069233826460847
SeedReleaseHeight,-0.012615791127346454,0.16910609581583919,0.14592143940636676,0.10727989459379587,0.0013279680607477106
LifeStrategy_crs,-0.01594836817405668,0.2455944719260164,0.009022888434996268,0.3488936372905035,-0.0016275912290264715
LifeSpan,0.012592429015756848,0.06493876379109302,0.09385346767553655,0.017173441839890675,0.0016497024272093819
NutrientIndicator,-0.009684721040481844,-0.08663977037768852,0.026079669524428223,-0.10267333981414148,-0.0027817424036103633
LifeStrategy_ccs,0.007196500242542274,-0.3915177167647172,0.017079027043269544,-0.1370403097484455,0.0005051050241361569
RetInFurSheep,-0.0055113604308835535,-0.11403122418667085,0.08371009034399707,-0.04721022872509084,0.00532183282586283
LifeStrategy_css,0.008379463311588693,0.16157503139442098,0.010158932926713542,0.2805115442994655,0.000900373486208208
RelativeAbundance,-0.004267871203487966,0.03523577942983393,0.15069713905378943,0.05216540709517947,0.0024596185438055225
LifeStrategy_ccc,0.0005888417410081489,-2.4845923369008784,0.02816648107525298,-0.9954917835851042,0.000958693343496037
NoOfVegOffspings,0.008441307320799517,-0.003157202435555247,0.05792953038014973,-0.0076529893443905515,0.007726652779753709
TerminalVelocity,-0.002443177643448066,-0.14045393772848644,0.1191046534918709,-0.11136202203369328,0.0007036362912212661
RetInFurCattle,0.0022609483303017,0.049649791378055884,0.05201313855937665,0.03901370657116382,0.0036601879144361493
LifeStrategy_rrs,0.0003694675869499203,0.8867606584971919,0.015744865096974373,0.5399158422860257,-0.0004221857197635449
LifeStrategy_sss,-0.000553389601931966,-0.2073359447762638,0.0014850869688338376,-0.0319075874856306,0.00047136256315759653
Dominance,-0.001017720828092626,0.03913455658329531,0.02406826795325149,0.03190579561440793,0.00020596000345082436
GutSurvival,0.0009144421624350321,0.006798004919176903,0.046274560624028314,-0.011846375532234594,-0.0002201002162545875
LifeStrategy_rss,0.0004453039070232437,-0.20662512081601445,0.004583837218219288,-0.0048813430568182825,-0.00040430442307982613
