,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
RelativeAbundance,15,9,9,9,0,4,7.666666666666667
TemperatureIndicator,8,4,0,0,4,5,3.5
NutrientIndicator,11,8,4,4,12,3,7.0
TerminalVelocity,9,6,10,10,3,11,8.166666666666666
RetInFurCattle,13,11,11,11,7,2,9.166666666666666
RetInFurSheep,10,10,8,8,8,1,7.5
GutSurvival,16,15,13,13,6,16,13.166666666666666
SeedReleaseHeight,6,7,2,2,1,8,4.333333333333333
LifeSpan,12,14,3,3,2,6,6.666666666666667
Dominance,14,13,12,12,9,17,12.833333333333334
NoOfVegOffspings,17,16,5,5,5,0,8.0
LifeStrategy_ccc,0,0,14,14,10,9,7.833333333333333
LifeStrategy_ccs,2,5,7,7,11,12,7.333333333333333
LifeStrategy_crs,3,2,1,1,16,7,5.0
LifeStrategy_css,7,3,6,6,14,10,7.666666666666667
LifeStrategy_rrs,1,1,17,17,13,14,10.5
LifeStrategy_rss,5,17,16,16,15,15,14.0
LifeStrategy_sss,4,12,15,15,17,13,12.666666666666666
