,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
Orig_high_limit,7,1,0,0,0,0,1.3333333333333333
Litter_size,23,11,10,10,6,8,11.333333333333334
Litters_per_yr,1,10,6,6,5,6,5.666666666666667
Young_per_yr,4,15,2,2,8,5,6.0
Mass_g,22,6,25,25,1,22,16.833333333333332
Longevity_yrs,0,0,5,5,19,2,5.166666666666667
Bio1_mean,12,25,3,3,3,21,11.166666666666666
Bio1_std,25,3,1,1,4,12,7.666666666666667
Rangesize_km2,24,2,24,24,2,11,14.5
Food_code,16,5,22,22,20,1,14.333333333333334
Daily01_0,18,18,9,9,22,13,14.833333333333334
Daily01_1,15,17,17,17,21,25,18.666666666666668
Annual01_0,20,23,16,16,18,16,18.166666666666668
Annual01_1,11,22,21,21,9,17,16.833333333333332
Food01_0,19,19,19,19,16,14,17.666666666666668
Food01_1,13,21,13,13,15,10,14.166666666666666
Daily_rhythm_both,9,9,23,23,7,20,15.166666666666666
Daily_rhythm_diur,6,4,20,20,23,19,15.333333333333334
Daily_rhythm_noct,10,14,12,12,14,3,10.833333333333334
Annual_rhythm_fachib,5,12,7,7,11,24,11.0
Annual_rhythm_nonhib,8,13,8,8,17,7,10.166666666666666
Annual_rhythm_oblhib,17,24,11,11,24,4,15.166666666666666
Food_gran,3,7,4,4,25,18,10.166666666666666
Food_herb,21,16,15,15,13,15,15.833333333333334
Food_inse,2,8,14,14,12,23,12.166666666666666
Food_omni,14,20,18,18,10,9,14.833333333333334
