,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,SVR,mean
RelativeAbundance,15,9,9,9,0,0,0,6.0
TemperatureIndicator,8,4,0,0,3,5,5,3.5714285714285716
NutrientIndicator,11,8,4,4,9,2,2,5.714285714285714
TerminalVelocity,9,6,11,11,1,1,1,5.714285714285714
RetInFurCattle,13,11,10,10,6,9,9,9.714285714285714
RetInFurSheep,10,10,8,8,7,13,13,9.857142857142858
GutSurvival,16,15,13,13,10,10,10,12.428571428571429
SeedReleaseHeight,6,7,2,2,2,7,7,4.714285714285714
LifeSpan,12,14,3,3,4,16,16,9.714285714285714
Dominance,14,13,14,14,11,15,15,13.714285714285714
NoOfVegOffspings,17,16,5,5,5,3,3,7.714285714285714
LifeStrategy_ccc,0,0,15,15,8,11,11,8.571428571428571
LifeStrategy_ccs,2,5,7,7,13,8,8,7.142857142857143
LifeStrategy_crs,3,2,1,1,15,4,4,4.285714285714286
LifeStrategy_css,7,3,6,6,14,17,17,10.0
LifeStrategy_rrs,1,1,17,17,17,12,12,11.0
LifeStrategy_rss,5,17,16,16,12,6,6,11.142857142857142
LifeStrategy_sss,4,12,12,12,16,14,14,12.0
