,Kernel Ridge,OLS,RF,Ridge,SVR
DemersPelag_reef-associated,0.004563115486842471,-0.7997641544487755,0.018518138506610375,-0.16023793173227302,-0.002498127071822235
DemersPelag_pelagic-neritic,0.003828588541406305,-0.45033899757968837,0.050082208845340426,-0.0944590801421903,-0.0016418576872445454
DemersPelag_benthopelagic,0.008501893460128782,0.648512138453588,0.033128782446583,0.15121152748989714,-0.0006635699874139095
DepthRangeDeep,0.0356936501764078,0.10238455518727925,0.27084361705699717,0.08927191335356807,-8.424159617732227e-05
Length,0.017036137308466277,-0.04232131488854258,0.2406150148711566,0.008516112807164005,-0.0018564615179292635
Vulnerability,-0.028236657256413333,-0.030135010220744544,0.29569459688931926,-0.06923779788375944,-0.00045888419889199977
DemersPelag_pelagic-oceanic,-0.0013574420028415204,0.5175081674337173,0.0016313475824000494,0.043815766716260966,-0.0012756659190395867
Fresh_-1,0.0010228460732738514,0.07667367458719125,0.011572617973475635,-0.028870222166276483,-0.001594776645444242
DemersPelag_demersal,-0.0009676053418049343,0.06596872481461488,0.022659313070547884,0.070594865687896,0.001128398078991974
DemersPelag_bathydemersal,-0.002201709445004527,-0.04961252216680445,0.021907032749563453,-0.010925148019590766,2.1516566312918765e-05
UsedforAquaculture_commercial,-0.0008750558103386569,-0.44832540010695104,0.003423153192525052,-0.03698149145173812,-0.0010426476994606112
UsedforAquaculture_likely future use,-0.0008653773848775942,0.13370806183739253,0.0007187553932211162,-0.00516189375639602,-0.0018969240074601192
UsedforAquaculture_never/rarely,-0.0006948815043169625,0.24689069477621078,0.003235496527213129,0.04214338520813414,-0.0011142969540006921
Fresh_0,0.00020156008763820462,-0.1444003180805392,0.0065629167771646384,0.028870222166276494,-0.00149296571648408
Brack_-1,-0.0003992262004733998,-0.029494026254672623,0.008760770569745044,-0.004545417805033515,-0.0015673912715186054
Saltwater_-1,-0.0009225314712155097,-0.067726643493348,0.0,0.0,-0.0009196046704431718
Brack_0,-0.000200405621961626,-0.03823261723867549,0.010646237548137184,0.004545417805033503,-0.00097728595873701
