,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
StorageOrgan,12,13,26,26,23,20,20.0
ReprModeCode,7,24,15,15,18,6,14.166666666666666
flwr_mo_start,26,33,22,22,14,29,24.333333333333332
flwr_mo_end,22,30,4,4,35,15,18.333333333333332
flwr_dur_mos,32,31,5,5,9,22,17.333333333333332
earliest_seed_shed_mo,13,0,14,14,0,12,8.833333333333334
latest_seed_shed_mo,25,3,1,1,3,0,5.5
seed_shed_dur_mos,15,23,2,2,13,4,9.833333333333334
seed_mass_mg,3,17,13,13,21,2,11.5
diaspore_mass_mg,31,32,32,32,22,3,25.333333333333332
diaspore_min_len_mm,10,4,12,12,25,16,13.166666666666666
diaspore_max_len_mm,8,10,31,31,4,9,15.5
diaspore_ave_len_mm,11,8,27,27,6,14,15.5
Min_seed_shed_ht_m,6,5,0,0,10,10,5.166666666666667
Max_seed_shed_ht_m,18,28,29,29,12,35,25.166666666666668
Ave_seed_shed_ht_m,28,26,10,10,24,27,20.833333333333332
nichebreadth_num_flor_zones,2,1,16,16,8,5,8.0
nichebreadth_amplit_ocean,21,22,9,9,17,1,13.166666666666666
Nbound_lat_GBIF_nosyn,27,15,3,3,11,26,14.166666666666666
GenTime,20,20,7,7,16,13,13.833333333333334
Resil,35,35,35,35,32,31,33.833333333333336
MaxAlt,4,29,17,17,1,23,15.166666666666666
oceanity_ks,36,36,37,37,33,30,34.833333333333336
oceanity_o,17,16,21,21,7,17,16.5
oceanity_os,14,11,20,20,27,21,18.833333333333332
oceanity_sks,5,25,24,24,19,34,21.833333333333332
oceanity_so,24,6,19,19,15,18,16.833333333333332
oceanity_sos,30,34,25,25,30,32,29.333333333333332
dispersal_mode_animal,16,12,6,6,29,8,12.833333333333334
dispersal_mode_gravity,9,7,18,18,26,19,16.166666666666668
dispersal_mode_water,37,37,28,28,34,37,33.5
dispersal_mode_wind,29,21,11,11,28,11,18.5
BreedSysCode_1.0,33,27,34,34,36,33,32.833333333333336
BreedSysCode_2.0,0,9,23,23,2,24,13.5
BreedSysCode_3.0,1,2,8,8,20,7,7.666666666666667
BreedSysCode_4.0,34,14,33,33,37,25,29.333333333333332
SI01_0.0,19,19,36,36,5,36,25.166666666666668
SI01_1.0,23,18,30,30,31,28,26.666666666666668
