,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
DepthRangeDeep,8,3,0,0,0,0,1.8333333333333333
Vulnerability,15,5,1,1,1,2,4.166666666666667
Length,13,12,2,2,2,3,5.666666666666667
UsedforAquaculture_commercial,4,8,11,11,15,9,9.666666666666666
UsedforAquaculture_likely future use,7,13,10,10,13,15,11.333333333333334
UsedforAquaculture_never/rarely,5,7,12,12,11,12,9.833333333333334
DemersPelag_bathydemersal,12,11,7,7,10,4,8.5
DemersPelag_benthopelagic,1,1,3,3,3,7,3.0
DemersPelag_demersal,11,4,6,6,7,1,5.833333333333333
DemersPelag_pelagic-neritic,3,2,4,4,4,16,5.5
DemersPelag_pelagic-oceanic,2,6,8,8,14,5,7.166666666666667
DemersPelag_reef-associated,0,0,5,5,6,11,4.5
Fresh_-1,9,9,14,14,5,6,9.5
Fresh_0,6,10,13,13,12,14,11.333333333333334
Brack_-1,16,15,16,16,9,10,13.666666666666666
Brack_0,14,14,15,15,8,8,12.333333333333334
Saltwater_-1,10,16,9,9,16,13,12.166666666666666
