,Kernel Ridge,OLS,RF,Ridge,SVR
Longevity (years),-0.012337705527246334,-1.478559500001411,0.04096841844151947,-0.31676602641587775,0.02446929480701394
Altitudinal Limit,-0.04079915324760863,-0.3509625838556514,0.2825398798663002,-0.22319999836818155,0.02036868137667506
Bio1_std,0.02239028719019643,0.04173382139457026,0.1574253427384625,-0.09136055514682082,0.012525121445809483
Facultative Hibernation (binary) ,0.010533894385257269,-0.7010636190616182,0.008807741016132384,-0.041539630455180956,-0.011842659569710434
Granivore (binary) ??,0.00891755215443828,0.5990487137937848,0.004887169060629507,0.05804969564475563,-0.0009571319005888243
Rhythm: Diurnal + Nocturnal (binary),0.004812878529397982,-0.40319747246677745,0.002801572979231835,-0.061992964162794706,-0.006278935178193052
Food_code,0.0035669192111794576,-0.024979467025222784,0.026166837032467312,0.08584353055484566,0.017409061716226124
Range Size (km2),0.0021517346799080337,-0.12314519404506741,0.0785879105950468,-0.11443113239070868,-0.0064996414129032485
Young / year,-0.004229548510991832,0.650076702718541,0.032828620865987194,0.026380157748327537,-0.013561699822289169
Insectivore (binary),0.00439392338050855,-1.203933336598034,0.007544379488625781,-0.057212969886977626,-0.0020807456295032284
Litter Size (individuals),0.00789321310393543,-0.05363998560049945,0.020109707752247557,0.03674908133310743,-0.0013822556889705225
Litters / year,-0.003628668788525921,-1.0773965823473728,0.021765519762225474,0.04784070366253975,-0.01272654761924814
No Hibernation (binary),0.006162127244538543,0.48430655919799726,0.010877219419020595,0.03424243754017005,0.0027120382045248475
Herivore (binary),0.006406789664629001,0.07376103463539545,0.012056942593064605,-0.030304012183424045,0.0016110951381670929
Rhythm: Diurnal (binary),0.00030762926191894787,0.6395990287668827,0.004761468557542388,0.08341441456525214,-0.010745790045586326
Rhythm: Nocturnal (binary),0.0024149994492478257,-0.25301728506273513,0.029868258377647127,-0.02358841943301056,0.015109535854832903
Omnivore (binary),0.004256507234791679,-0.2571834166966001,0.010110076033574222,0.029467286425646028,0.0055893772902239295
Mass (g),0.0013860056368300649,0.14493629299142924,0.24048669502030143,0.07078150876750479,-0.00019674836447775845
Obligate Hibernation (binary),0.004507192221065171,0.04996943839210426,0.007406240399973627,-0.0038022305009907413,-0.0028457007189373667
