,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
Altitudinal Limit,9,1,0,0,0,1,1.8333333333333333
Litter Size (individuals),15,12,5,5,7,16,10.0
Litters / year,2,10,13,13,18,5,10.166666666666666
Young / year,4,16,12,12,11,4,9.833333333333334
Mass (g),12,6,17,17,3,18,12.166666666666666
Longevity (years),0,0,2,2,4,0,1.3333333333333333
Bio1_std,17,3,1,1,1,6,4.833333333333333
Range Size (km2),13,2,16,16,2,9,9.666666666666666
Food_code,18,4,14,14,5,2,9.5
Rhythm: Diurnal + Nocturnal (binary),8,7,8,8,13,10,9.0
Rhythm: Diurnal (binary),5,5,18,18,10,8,10.666666666666666
Rhythm: Nocturnal (binary),11,17,15,15,6,3,11.166666666666666
Facultative Hibernation (binary) ,3,11,3,3,14,7,6.833333333333333
No Hibernation (binary),7,13,7,7,15,13,10.333333333333334
Obligate Hibernation (binary),16,18,9,9,17,12,13.5
Granivore (binary) ??,6,8,4,4,12,17,8.5
Herivore (binary),14,14,6,6,8,15,10.5
Insectivore (binary),1,9,10,10,16,14,10.0
Omnivore (binary),10,15,11,11,9,11,11.166666666666666
