,Kernel Ridge,OLS,RF,Ridge,SVR
Minimum Seed Shed Height (m),0.012418813110656946,-0.476509062484054,0.03455071369459345,-0.12201023877875661,0.009227094811217815
Seed Shed Month (earliest),0.0026042092060318657,-0.3179754850196305,0.17013389396535028,-0.21963971602232904,-0.02909196437186346
Seed Shed Month (latest),0.010209405802204386,-0.11352904476512445,0.11304086383027809,0.13721637643994022,0.0014024490940667531
Seed Shed Duration (months),-0.008261584073174056,-0.2742489276343448,0.051942384795488725,0.034431078320785645,-0.003660944794860415
Gravity Dispersal Mode (binary),-0.0036945915626030402,0.3434015854724832,0.0026802393408113133,0.10911663193098702,-0.013493399716413019
Breeding: Mixed Mating I ,0.003218025051193911,-0.8222172448305823,0.00584418685107713,-0.16962245290325498,0.0032010786835863433
Diaspore Minimum Length (mm),0.002184708490828162,0.33996612138936444,0.023510437522978586,0.12490192349161666,-0.0031620076935841694
ReprModeCode,-0.0025522762943749867,0.4218002792641105,0.008061520238165778,0.027618264337413417,-0.015814399872993986
Seed Mass (mg),-0.0035065876993691848,-0.5102582888158984,0.03913843427339976,-0.05297054436507502,-0.0005091744930163266
Total Number of Floristic Zones,-0.0014916219844051005,-0.7862453246753862,0.0587195223736471,-0.21794461484734481,-0.0004777825427190855
Flowering End (month),0.008725468201876859,0.131587504519097,0.0027863835221359954,-0.009050696101075714,-0.005294543566857421
Total Number of Oceanic Zones,0.003927779621130255,-0.1677176519433421,0.0067769225756463495,-0.03964252219544118,0.007106926872887926
"Breeding: Mostly Outcrossing, Selfing Possible",0.0018758818577934108,0.8887734551015842,0.03419367477107452,0.09928719170558523,-0.0007069938037446609
Nbound_lat_GBIF_nosyn,-0.008166734223259503,-0.06992151061515657,0.049297594703167455,-0.057565281027186166,-0.0013333859753579928
Average Diaspore Length (mm),0.0007273205664572073,0.3351837886544641,0.0369652367783566,0.10219190454923706,-0.0043478860143335175
Average Seed Shed Height (M),0.00376906532582292,0.060651234242329044,0.06751793892654771,-0.01981730557669928,0.001824226879624933
Maximum Altitude,0.0017380439223936798,0.5047796695387387,0.07773260408385807,-0.009950351192643687,0.02498904667621609
Oceanity: Moderate Both,-0.001739640972663042,0.1256028346467979,0.03201397877608829,0.1127461679389515,-0.0026826375128585654
Storage Organ Presence,0.0020094036500999182,0.3310769312069633,0.005879886478448871,0.059297242894354785,-0.004439111871250548
GenTime,0.0042001762018910776,-0.167930494569478,0.005499364483877478,-0.046322093810798375,0.0009777000258279884
Diaspore Maximum Length (mm),-0.00035308785740084393,0.38396268514068665,0.017795325308208314,0.089814747621431,-0.0065584540257907446
Flowering Duration (months),-0.008480342836208795,-0.011042468475483786,0.027869650614547735,-0.008183116306420326,0.001729413976517298
Wind Dispersal Mode (binary),-0.003442475288033147,-0.02749916209721317,0.0012657259837833851,0.042046031880187386,-0.007978963156873905
Flowering Start (month),-0.0032448696846420003,0.08161250573447361,0.028091195467995066,0.001825217127252872,-0.0013393419889371205
Animal Dispersal Mode (binary),0.007067368841568278,-0.24436087102229184,0.0003943992101888224,-0.06184679450533154,-0.0002578776798935825
Maximum Seed Shed Height (m),0.0011304244585735618,0.21905929626357962,0.01960144818872605,0.01210460112496302,0.00336031097065596
Breeding: Mixed Mating II,0.002580721781358306,-0.0006062100215518396,0.01854472662494883,0.057623104997163985,0.002524582058300173
Self Compatibility: No,-0.0005981747899297778,-0.1314708799736927,0.007786609593031614,0.04656609028010406,-0.0020186565831766755
Oceanity: Oceanic - Continental,-0.0010267700074899299,-0.30283307688479766,0.019664129000930456,-0.08069491589306463,0.0009002808163926683
Self Compatibility: Yes,-0.000673280075172214,0.18871190169221735,0.009874484714184206,-0.04656609028010406,-0.004253769867221044
Oceanity: Oceanic,0.00044132903267604385,-0.22395671279433954,0.0030177367360103243,-0.054778035776125965,0.00022092999900784807
Oceanity: Moderate Oceanic,0.0008375674127333695,-0.023915858045616665,0.00020568961785957248,-0.0017620046769402666,-0.0029868245628230606
Diaspore Mass (mg),-0.001518673860530936,0.02277180315763519,0.016070519861969335,0.004087878597350989,0.0003047029013401446
Oceanity: Moderate Continental,-9.425430536734309e-05,0.4823438347964809,0.0035152792221390867,0.02448878840717935,0.0007145760670700509
Resil,-0.0004990599237262736,0.0,0.0,0.0,-0.0029198198128116714
Breeding: Obligate Outcrossing,-0.00024481253889045777,-0.008708978530925124,1.7297870485679406e-05,0.012712156200505736,-0.0012384872000861164
Oceanity: Continental - Oceanic,-0.0008232462240539406,0.0,0.0,0.0,-0.0002614230532203823
Water Dispersal Mode (binary),-0.00036421454961744137,0.0,0.0,0.0,0.000663417576402555
