,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
StorageOrgan,12,14,21,21,24,27,19.833333333333332
ReprModeCode,6,30,24,24,14,4,17.0
flwr_mo_start,25,27,14,14,13,31,20.666666666666668
flwr_mo_end,23,26,4,4,11,36,17.333333333333332
flwr_dur_mos,31,24,3,3,7,16,14.0
earliest_seed_shed_mo,13,0,12,12,0,1,6.333333333333333
latest_seed_shed_mo,24,5,1,1,8,0,6.5
seed_shed_dur_mos,14,19,5,5,3,7,8.833333333333334
SI01,19,12,6,6,28,2,12.166666666666666
seed_mass_mg,3,21,13,13,6,18,12.333333333333334
diaspore_mass_mg,32,25,35,35,17,26,28.333333333333332
diaspore_min_len_mm,9,3,16,16,2,19,10.833333333333334
diaspore_max_len_mm,8,11,31,31,10,13,17.333333333333332
diaspore_ave_len_mm,11,9,17,17,25,20,16.5
Min_seed_shed_ht_m,7,4,0,0,12,8,5.166666666666667
Max_seed_shed_ht_m,18,33,19,19,21,17,21.166666666666668
Ave_seed_shed_ht_m,28,23,10,10,4,15,15.0
nichebreadth_num_flor_zones,1,1,22,22,1,14,10.166666666666666
nichebreadth_amplit_ocean,21,16,8,8,18,3,12.333333333333334
Nbound_lat_GBIF_nosyn,26,15,2,2,16,6,11.166666666666666
GenTime,22,13,9,9,22,12,14.5
Resil,34,36,25,25,26,29,29.166666666666668
MaxAlt,4,31,27,27,5,23,19.5
oceanity_ks,35,35,30,30,27,22,29.833333333333332
oceanity_o,20,20,34,34,23,9,23.333333333333332
oceanity_os,16,10,32,32,15,11,19.333333333333332
oceanity_sks,5,29,28,28,29,32,25.166666666666668
oceanity_so,17,7,29,29,30,28,23.333333333333332
oceanity_sos,30,28,36,36,31,30,31.833333333333332
dispersal_mode_animal,15,18,7,7,32,35,19.0
dispersal_mode_gravity,10,8,15,15,33,21,17.0
dispersal_mode_water,36,34,26,26,34,24,30.0
dispersal_mode_wind,33,22,20,20,20,10,20.833333333333332
BreedSysCode_1.0,27,32,33,33,19,25,28.166666666666668
BreedSysCode_2.0,0,6,18,18,35,33,18.333333333333332
BreedSysCode_3.0,2,2,11,11,9,5,6.666666666666667
BreedSysCode_4.0,29,17,23,23,36,34,27.0
