,OLS,Ridge,Kernel Ridge,Kernel Ridge,RF,SVR,mean
StorageOrgan,33,26,24,24,36,34,29.5
ReprModeCode,13,35,12,12,33,4,18.166666666666668
flwr_mo_start,36,30,11,11,14,26,21.333333333333332
flwr_mo_end,30,38,3,3,11,18,17.166666666666668
flwr_dur_mos,22,28,4,4,22,6,14.333333333333334
earliest_seed_shed_mo,0,0,19,19,1,0,6.5
latest_seed_shed_mo,35,3,2,2,0,41,13.833333333333334
seed_shed_dur_mos,28,8,0,0,27,1,10.666666666666666
SI01,26,25,10,10,26,5,17.0
seed_mass_mg,15,36,17,17,23,14,20.333333333333332
diaspore_mass_mg,31,22,40,40,20,17,28.333333333333332
diaspore_min_len_mm,5,5,15,15,16,30,14.333333333333334
diaspore_max_len_mm,7,12,28,28,31,12,19.666666666666668
diaspore_ave_len_mm,6,10,25,25,8,11,14.166666666666666
Min_seed_shed_ht_m,16,9,1,1,10,40,12.833333333333334
Max_seed_shed_ht_m,19,29,20,20,13,13,19.0
Ave_seed_shed_ht_m,34,39,21,21,21,22,26.333333333333332
nichebreadth_num_flor_zones,1,1,22,22,2,8,9.333333333333334
nichebreadth_amplit_ocean,17,23,14,14,37,7,18.666666666666668
Bio1_mean_nosyn,25,27,13,13,35,20,22.166666666666668
Bio1_std_nosyn,11,6,8,8,19,42,15.666666666666666
Bio1_var_nosyn,37,14,32,32,24,25,27.333333333333332
Bio1_mean_inclsyn,20,24,16,16,5,24,17.5
Bio1_std_inclsyn,8,4,6,6,4,37,10.833333333333334
Bio1_var_inclsyn,27,11,29,29,6,15,19.5
Nbound_lat_GBIF_nosyn,14,15,5,5,7,10,9.333333333333334
GenTime,39,17,9,9,25,32,21.833333333333332
Resil,40,42,35,35,38,33,37.166666666666664
MaxAlt,2,20,33,33,3,3,15.666666666666666
oceanity_ks,41,40,42,42,39,21,37.5
oceanity_o,32,33,37,37,34,36,34.833333333333336
oceanity_os,21,18,41,41,17,39,29.5
oceanity_sks,12,34,31,31,40,31,29.833333333333332
oceanity_so,24,16,18,18,30,29,22.5
oceanity_sos,23,31,38,38,29,19,29.666666666666668
dispersal_mode_animal,3,13,7,7,18,16,10.666666666666666
dispersal_mode_gravity,4,2,36,36,9,2,14.833333333333334
dispersal_mode_water,42,41,34,34,41,35,37.833333333333336
dispersal_mode_wind,38,32,26,26,12,9,23.833333333333332
BreedSysCode_1.0,18,37,39,39,32,23,31.333333333333332
BreedSysCode_2.0,9,19,27,27,15,28,20.833333333333332
BreedSysCode_3.0,10,7,23,23,28,38,21.5
BreedSysCode_4.0,29,21,30,30,42,27,29.833333333333332
